epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3293.64,1.7928,0.50073,1.30283,0.94379,0.9589,0.97538,0.5437,1.8545,0.4962,1.25678,6.22537e-05,6.22537e-05,6.22537e-05
70,3340.82,1.76419,0.49137,1.28985,0.95317,0.95593,0.97656,0.53795,1.86439,0.50055,1.26113,5.11027e-05,5.11027e-05,5.11027e-05
71,3387.98,1.77204,0.49461,1.29171,0.94786,0.96053,0.97633,0.53852,1.86795,0.50036,1.26268,4.16339e-05,4.16339e-05,4.16339e-05
72,3435.09,1.75752,0.49062,1.29915,0.94551,0.9589,0.97656,0.54263,1.85032,0.4948,1.25643,3.38639e-05,3.38639e-05,3.38639e-05
73,3482.22,1.77632,0.49433,1.31273,0.94425,0.96113,0.9765,0.54073,1.86633,0.49582,1.26214,2.78064e-05,2.78064e-05,2.78064e-05
74,3529.12,1.7764,0.49164,1.30585,0.94784,0.96086,0.97723,0.54458,1.85526,0.49388,1.25838,2.34721e-05,2.34721e-05,2.34721e-05
75,3576.54,1.77387,0.48347,1.30681,0.94771,0.95769,0.97664,0.54158,1.85759,0.49609,1.25858,2.08684e-05,2.08684e-05,2.08684e-05
1,61.3067,2.54371,2.03911,2.12802,0.84234,0.85734,0.87042,0.39823,2.3697,0.51481,2.01825,0.000398662,0.000398662,0.000398662
2,118.638,2.41867,0.5115,2.03438,0.71603,0.84149,0.81569,0.37774,2.27374,0.49099,1.95397,0.000798466,0.000798466,0.000798466
3,174.523,2.41369,0.49575,2.00743,0.84819,0.87472,0.90565,0.42153,2.28455,0.4441,1.97278,0.00119748,0.00119748,0.00119748
4,230.437,2.38414,0.46237,2.02418,0.57116,0.87836,0.56542,0.2671,2.25131,0.48336,1.95353,0.00159513,0.00159513,0.00159513
5,286.788,2.38108,0.4743,1.98459,0.75254,0.80938,0.80794,0.37415,2.31095,0.46949,1.98065,0.00199081,0.00199081,0.00199081
6,343.552,2.33143,0.4649,1.96426,0.60384,0.33268,0.33475,0.16884,2.44093,2.3744,2.12415,0.00198773,0.00198773,0.00198773
7,401.156,2.34811,0.45227,1.98304,0.52018,0.53229,0.53448,0.23786,2.48364,0.72336,2.05402,0.00198234,0.00198234,0.00198234
8,457.94,2.34658,0.46086,1.96385,0.7909,0.89628,0.89124,0.43144,2.20865,0.39259,1.9126,0.00197599,0.00197599,0.00197599
9,514.826,2.33661,0.43773,1.9543,0.82922,0.90271,0.89674,0.40606,2.2498,0.41528,1.93679,0.00196868,0.00196868,0.00196868
10,571.769,2.27971,0.41895,1.93978,0.82778,0.86535,0.88534,0.41402,2.24169,0.39761,1.93316,0.00196041,0.00196041,0.00196041
11,629.012,2.24977,0.39444,1.91016,0.85264,0.93738,0.93685,0.45951,2.21938,0.36279,1.90629,0.0019512,0.0019512,0.0019512
12,685.636,2.24933,0.40429,1.91298,0.8396,0.91194,0.91884,0.45768,2.18854,0.35545,1.90205,0.00194106,0.00194106,0.00194106
13,742.759,2.2817,0.3932,1.9334,0.83708,0.94517,0.91891,0.45711,2.15801,0.37164,1.88102,0.00192999,0.00192999,0.00192999
14,801.884,2.2522,0.3885,1.93427,0.8716,0.94318,0.93507,0.46039,2.21095,0.35231,1.89396,0.001918,0.001918,0.001918
15,858.835,2.22999,0.38598,1.90218,0.86819,0.92368,0.92526,0.46647,2.1991,0.33988,1.90104,0.00190511,0.00190511,0.00190511
16,915.634,2.20897,0.37413,1.88059,0.87903,0.93854,0.94306,0.48526,2.15327,0.33443,1.88029,0.00189133,0.00189133,0.00189133
17,972.578,2.23831,0.38635,1.91925,0.88867,0.92172,0.94399,0.48298,2.17369,0.34455,1.87763,0.00187668,0.00187668,0.00187668
